chapter_index,chapter_title,南京,苏州,杭州,北京,扬州,济南,湖州,total_place_mentions,char_count
1,說楔子敷陳大義　借名流隱括全文,0,1,0,0,0,2,0,3,7085
2,王孝廉村學識同科　周蒙師暮年登上第,0,0,0,0,0,0,0,0,6151
3,周學道校士拔真才　胡屠戶行兇鬧捷報,0,0,0,0,0,0,0,0,7955
4,薦亡齋和尚喫官司　打秋風鄉紳遭橫事,0,0,0,0,0,0,0,0,5899
5,王秀才議立偏房　嚴監生疾終正寢,0,0,0,0,0,0,0,0,6617
6,鄉紳發病鬧船家　寡婦含冤控大伯,0,0,0,0,0,0,0,0,6418
7,范學道視學報師恩　王員外立朝敦友誼,0,0,0,0,0,0,0,0,6111
8,王觀察窮途逢世好　婁公子故裏遇貧交,0,0,1,0,0,0,2,3,6091
9,婁公子捐金贖朋友　劉守備冒姓打船家,0,0,0,0,0,0,1,1,6249
10,魯翰林憐才擇婿　蘧公孫富室招親,0,0,0,0,0,0,0,0,5901
11,魯小姐制義難新郎　楊司訓相府薦賢士,0,0,0,0,0,0,1,1,5944
12,名士大宴鶯脰湖　俠客虛設人頭會,0,0,1,0,0,0,3,4,6095
13,蘧駪夫求賢問業　馬純上仗義疏財,0,0,0,0,0,0,2,2,6203
14,蘧公孫書坊送良友　馬秀才山洞遇神仙,0,0,4,0,0,0,0,4,5714
15,葬神仙馬秀才送喪　思父母匡童生盡孝,0,0,0,0,0,0,0,0,5861
16,大柳莊孝子事親　樂清縣賢宰愛士,0,0,1,0,0,0,0,1,5893
17,匡秀才重遊舊地　趙醫生高踞詩壇,0,0,2,0,0,0,2,4,5954
18,約詩會名士攜匡二　訪朋友書店會潘三,0,0,0,0,0,0,0,0,5480
19,匡超人幸得良朋　潘自業橫遭禍事,0,0,0,0,0,0,0,0,6068
20,匡超人高興長安道　牛布衣客死蕪湖關,2,0,2,0,3,0,0,7,5408

